timestamp,open,high,low,close,volume
2026-01-02T14:30:00Z,6000,6002,5999,6001,100
2026-01-02T14:31:00Z,6001,6003,6000,6002,110
2026-01-02T14:32:00Z,6002,6004,6001,6003,120
2026-01-02T14:33:00Z,6003,6005,6002,6004,130
2026-01-02T14:34:00Z,6004,6006,6003,6005,140
2026-01-02T14:35:00Z,6005,6007,6004,6006,150
2026-01-02T14:36:00Z,6006,6008,6005,6007,160
2026-01-02T14:37:00Z,6007,6009,6006,6008,170
2026-01-02T14:38:00Z,6008,6010,6007,6009,180
2026-01-02T14:39:00Z,6009,6011,6008,6010,190
2026-01-02T14:40:00Z,6010,6012,6009,6011,200
2026-01-02T14:41:00Z,6011,6013,6010,6012,210
2026-01-02T14:42:00Z,6012,6014,6011,6013,220
2026-01-02T14:43:00Z,6013,6015,6012,6014,230
2026-01-02T14:44:00Z,6014,6016,6013,6015,240
2026-01-02T14:45:00Z,6015,6017,6014,6016,250
2026-01-02T14:46:00Z,6016,6018,6015,6017,260
2026-01-02T14:47:00Z,6017,6019,6016,6018,270
2026-01-02T14:48:00Z,6018,6020,6017,6019,280
2026-01-02T14:49:00Z,6019,6021,6018,6020,290

